incoming_mask,one_mask,return_arcs,safe_colors
10,12,1>0;2>3,0
12,12,1>0;2>3,01
3,12,3>2,01
5,12,3>2,0
6,12,3>2,0
9,12,3>2,01
10,12,3>2,01
12,12,3>2,01
3,12,0>1;3>2,01
5,12,0>1;3>2,0
6,12,0>1;3>2,
9,12,0>1;3>2,01
10,12,0>1;3>2,1
12,12,0>1;3>2,01
3,12,1>0;3>2,01
5,12,1>0;3>2,
6,12,1>0;3>2,0
9,12,1>0;3>2,1
10,12,1>0;3>2,01
12,12,1>0;3>2,01
